partner_id,entity_type,entity_id,relationship_start_date,relationship_end_date,br_type_code,associated_partner_id,partner_class_code
96a660ff-08e0-49c1-be6d-bb22a84e742e,BR,f3d9ec9c-4438-448c-ac47-c1d7de8128e7,2013-04-11,,VP,,
aa1475e7-74ea-438f-bba8-e537c92cb4be,BR,fc20feb8-2c8e-4eb7-92b4-4bf9b7f45d5c,2015-12-10,,VP,,
44216c25-6317-4d31-9ff9-3ee91922da22,BR,ed18c0a1-f49a-4561-b329-79d0a6ad37d4,2019-10-09,,VP,,
dfc59f86-d2c9-4388-90e1-4e24e83ec3b9,BR,aaa3bf22-cfa4-43e6-b33b-bb8b34a24e22,2015-01-18,,VP,,
9a3c6ce6-7c21-4013-8e08-f14aac6d098b,BR,1256e7ee-432e-49de-96b3-80543019f8c0,2019-12-31,,VP,,
94579e86-109d-4fa9-9598-57bcf8400337,BR,fc5bbcd8-0716-47b7-bdb3-72d17fe03a4b,2020-08-12,,VP,,
4e2c20df-62b3-415e-951c-d850290f2a38,BR,f074ecbd-290b-49ad-aa26-c9338de3e204,2017-06-11,,VP,,
617a6268-2b41-417c-9338-81a713565ab8,BR,fa5dc7eb-f907-42d0-b981-cc8a69094726,2010-02-18,,VP,,
05bab6dd-a21b-4e83-a9f4-08a0d1f1df32,BR,e5a4ba0e-6a08-4271-a7ce-09dbe45ddc69,2010-06-30,,VP,,
b1b3dcbe-c677-40a3-9563-783d1f0c7e36,BR,1e619db8-5968-43f7-9f52-0ef83ab0e0f5,2013-11-18,,VP,,
fb1c9bc6-d050-4ad6-9f92-61695468ce01,BR,f35185b9-fca0-41f8-9a89-a8a771529827,2019-06-27,,VP,,
62eb68aa-e770-445a-9279-c06c71aa5c10,BR,4bb2d7ef-6d78-49ae-9188-92f8ee89e9d2,2019-05-13,,VP,,
a9b224ef-97a7-472e-9aa2-b135513322d0,BR,1cd24db7-4dd3-4e8f-bf5f-8a363edbb73d,2011-06-14,,VP,,
