br_id,account_id,relationship_id,relationship_status_code
f3d9ec9c-4438-448c-ac47-c1d7de8128e7,c5ab0a15-5f4c-4993-856b-ba6762f6a455,8c6c6e9a-cd5a-441e-8987-262098f99cbb,1
81600ead-6d09-4b66-afb5-df9b884c3c16,48fa5bc7-9408-42ec-a4a5-18b038dc5a11,995160bc-ab55-443c-89bc-78bf7db8253d,1
fc20feb8-2c8e-4eb7-92b4-4bf9b7f45d5c,d5d0fe77-0d6e-4013-a4c4-af243be66f8d,9888c160-c73a-4cc3-a04a-d5bb4a1dbd03,1
ed18c0a1-f49a-4561-b329-79d0a6ad37d4,b392f5f6-e1f0-43b9-8e57-d95d2d2400f2,df6e62da-163b-464c-9142-581138c06610,1
8134a4bf-1683-4bc7-b13d-32e5892f6926,33293396-7bce-4276-bac4-6e0961adab35,de9fe7f5-adc1-450d-bad6-04c3ca38ed4f,1
aaa3bf22-cfa4-43e6-b33b-bb8b34a24e22,e6cd412a-a65b-4904-93e7-ede80153cc31,a2ddc93d-146e-48e6-8f92-bafa6a5da4bd,1
1256e7ee-432e-49de-96b3-80543019f8c0,cd2a1d48-f260-497e-8f51-5344b8e81d83,2392fd63-3915-4edb-829f-f9515dda0c51,1
fc5bbcd8-0716-47b7-bdb3-72d17fe03a4b,28f558ac-2de8-4d42-a80e-66758dd8cc63,99418ce3-04c0-4ddd-96f1-c8c81312db91,1
f074ecbd-290b-49ad-aa26-c9338de3e204,008bd5a7-77e2-4134-9dae-f88fbf1f63d3,dd88eac2-989c-45c2-b43e-48a0ada56210,1
fa5dc7eb-f907-42d0-b981-cc8a69094726,2bcab5dd-841e-499b-abd8-6b7efdb5f959,b2ed0a87-3962-4788-83a7-1af4a342a00a,1
e5a4ba0e-6a08-4271-a7ce-09dbe45ddc69,38c09c86-d26f-4ade-9854-0daf5acb3c22,83e98a32-b023-4335-8346-b31e6b4d92ea,1
e54850fb-cd20-4ed8-adc8-71bc266ff099,e98724df-ce39-49de-b97b-31f4719ddb94,20451229-1f53-49f7-93e1-4ba56672d0ec,1
1e619db8-5968-43f7-9f52-0ef83ab0e0f5,9870dd9b-69da-4d65-9ff1-d6c3ff44c3ac,93be353c-0588-4d21-a350-21fd82f9cda8,1
f35185b9-fca0-41f8-9a89-a8a771529827,e201b74b-04ef-424f-8394-c8a1c1f4bf55,3d99392c-cabf-444d-9324-f1b216cde875,1
4bb2d7ef-6d78-49ae-9188-92f8ee89e9d2,243e20df-0d76-40c0-a93f-574db30c2499,56e693fb-38fd-44cd-98d6-d05a69ff058c,1
1cd24db7-4dd3-4e8f-bf5f-8a363edbb73d,164bd7af-81f7-4f79-896f-4fc52d5c140a,8f79be75-0bac-44a3-a31a-94541be5d82f,1
1561c7b6-1073-4293-8d79-dcefd3ea9eba,8c97de31-4e25-4068-9a45-dbea26996a31,3120fc67-0d24-408f-8bba-f6df00014a7f,1
