partner_id,country_name,partner_country_status_code,country_type
96a660ff-08e0-49c1-be6d-bb22a84e742e,Switzerland,1,domicile
aa1475e7-74ea-438f-bba8-e537c92cb4be,Switzerland,1,domicile
44216c25-6317-4d31-9ff9-3ee91922da22,Switzerland,1,domicile
dfc59f86-d2c9-4388-90e1-4e24e83ec3b9,Switzerland,1,domicile
9a3c6ce6-7c21-4013-8e08-f14aac6d098b,Switzerland,1,domicile
94579e86-109d-4fa9-9598-57bcf8400337,Switzerland,1,domicile
4e2c20df-62b3-415e-951c-d850290f2a38,Switzerland,1,domicile
617a6268-2b41-417c-9338-81a713565ab8,Switzerland,1,domicile
05bab6dd-a21b-4e83-a9f4-08a0d1f1df32,Switzerland,1,domicile
b1b3dcbe-c677-40a3-9563-783d1f0c7e36,Switzerland,1,domicile
fb1c9bc6-d050-4ad6-9f92-61695468ce01,Switzerland,1,domicile
62eb68aa-e770-445a-9279-c06c71aa5c10,Switzerland,1,domicile
a9b224ef-97a7-472e-9aa2-b135513322d0,Switzerland,1,domicile
b39e337a-25a9-4442-8e78-0b8116767160,Switzerland,1,domicile
cf9b33e4-b6c3-4dc7-97a4-77239e5e8270,Switzerland,1,domicile
e3188f62-e061-450d-8d44-5acd08be259d,Switzerland,1,domicile
53b02333-1692-49ef-a206-7e24ce2895a9,Switzerland,1,domicile
14734b53-51f3-46e2-8361-faf5b8c00fc5,Switzerland,1,domicile
c7f1f5a0-1265-4364-a8bd-1f36c1cec2a5,Switzerland,1,domicile
83fa2802-6419-4e09-8f8b-8e5c5a6c2c18,Switzerland,1,domicile
fec8979e-08fe-4ff0-b7ad-0e0b91d6fda1,Switzerland,1,domicile
7beef6ff-6f63-48a2-8df3-89191ddb7116,Switzerland,1,domicile
fc16f97f-5de7-4059-9e0d-fd98e13425c1,Switzerland,1,domicile
8d5450d6-4c33-449f-9308-a3dd20a6ba7c,Switzerland,1,domicile
cab1e0f6-2d3f-4ed5-a403-9ef561950b99,Switzerland,1,domicile
040e4d96-66fc-4721-bb97-075ad29c4d91,Switzerland,1,domicile
610a7d59-bf6a-4e34-b6cd-2fbb6c79af3c,Switzerland,1,domicile
ef24a533-f6bc-42e1-b483-9b91361226fd,Panama,1,domicile
e05081bb-9a71-41e8-b36a-0e031e428232,Panama,1,domicile
2b6d2d1b-d664-4f7a-a6ab-6ac8b9aa5b1a,Switzerland,1,domicile
0a73b228-fb62-4518-a291-9621c6964943,Switzerland,1,domicile
e8e2d649-7fe8-4431-ae37-c7cea8fed367,Switzerland,1,domicile
591b0a41-6caa-4b1c-ab83-04a3f7d56106,Switzerland,1,domicile
a1509c74-42c4-440b-8dc7-d54d848ba289,Switzerland,1,domicile
2a32206d-8598-41f9-9384-9bc759c55ae3,Switzerland,1,domicile
c109d2e7-5afe-4571-97aa-d5b37f9dbf61,Switzerland,1,domicile
3364866f-002f-4aba-b2e4-a63763e5fe88,Switzerland,1,domicile
2d6669a1-722d-41ca-b3a0-3928eb55fae0,Switzerland,1,domicile
226d1dfe-89cd-4283-942d-4229f398480b,Switzerland,1,domicile
7e2d0147-19a2-48fc-9454-d34c1c41c65f,Switzerland,1,domicile
9004f513-897c-4cec-bf7d-d3daed9e1021,Panama,1,domicile
b41e9534-4f46-4489-880a-1a5f49bcee2e,Switzerland,1,domicile
d4f80ec8-a3b6-403f-b81f-f78fa4c80e9f,Switzerland,1,domicile
db250aa0-3365-4b7c-9551-0712459b5b63,France,1,domicile
915a8af3-01d0-4b15-8ad3-d13e83726a5e,Switzerland,1,domicile
4ba56d04-7f2e-4855-9f68-3d2a33c52c84,Switzerland,1,domicile
a917712f-ed1c-433a-850c-250d3d19bb02,Switzerland,1,domicile
2cfcac9c-862b-415a-b293-1cc85ad8661b,Switzerland,1,domicile
ac24e4ad-3adc-45ec-ab43-63bb3d6d04af,Switzerland,1,domicile
21d9f80a-48d8-4713-a9bf-657608f28dc2,Switzerland,1,domicile
738a445e-8bdb-4d6c-8307-9b5a76e32895,Switzerland,1,domicile
a78beeaf-c56d-42d3-aa80-f9d26f5f7a54,Switzerland,1,domicile
1ea0f6f9-116d-40f0-8094-6126d92f9b9a,Switzerland,1,domicile
7ea1566f-483f-4240-8211-645011e016b8,Germany,1,domicile
43af1215-fdc3-4826-b17c-c61b42f12215,Switzerland,1,domicile
cd7e60da-7fd6-4172-9548-20d7598cd8f8,Switzerland,1,domicile
4e07df11-4813-4562-8193-6d1eacf2261c,Switzerland,1,domicile
ce6f3596-4e36-4ec1-b26e-137be74be97a,Switzerland,1,domicile
a07ab2cd-4727-4b0b-864d-a5c50df484e9,Switzerland,1,domicile
