br_id,br_open_date,br_close_date
f3d9ec9c-4438-448c-ac47-c1d7de8128e7,2013-04-11,
fc20feb8-2c8e-4eb7-92b4-4bf9b7f45d5c,2015-12-10,
ed18c0a1-f49a-4561-b329-79d0a6ad37d4,2019-10-09,
aaa3bf22-cfa4-43e6-b33b-bb8b34a24e22,2015-01-18,
1256e7ee-432e-49de-96b3-80543019f8c0,2019-12-31,
fc5bbcd8-0716-47b7-bdb3-72d17fe03a4b,2020-08-12,
f074ecbd-290b-49ad-aa26-c9338de3e204,2017-06-11,
fa5dc7eb-f907-42d0-b981-cc8a69094726,2010-02-18,
e5a4ba0e-6a08-4271-a7ce-09dbe45ddc69,2010-06-30,
1e619db8-5968-43f7-9f52-0ef83ab0e0f5,2013-11-18,
f35185b9-fca0-41f8-9a89-a8a771529827,2019-06-27,
4bb2d7ef-6d78-49ae-9188-92f8ee89e9d2,2019-05-13,
1cd24db7-4dd3-4e8f-bf5f-8a363edbb73d,2011-06-14,
1561c7b6-1073-4293-8d79-dcefd3ea9eba,2022-10-24,
564dc31d-d6b8-43b1-8da7-cc2034e9950b,2011-12-08,
fbab60a6-37f6-41c9-8b09-fe66ccaa074b,2018-10-23,
6a8ae924-ee25-463c-9513-17de7d10f1ef,2010-10-21,
e8f150fc-4704-45e9-853a-4f0d916a379e,2014-04-11,
bf750a16-487d-43fc-9723-538bf831e582,2017-02-24,
2b2f5b9c-d90f-4b89-b62a-8a20f0f5cb7b,2011-10-23,
78392265-8bff-4b4a-8988-3a3e98153b3b,2018-09-14,
a3cee198-dec0-41eb-bc90-2f3af24963fe,2019-04-13,
c02e0142-46e6-4add-b2ac-7358e0161838,2015-10-08,
ce1b31ee-699e-48b0-8e45-8ef53eeb756f,2018-05-22,
5930c239-51a8-481f-aa3d-81233f14c537,2017-10-11,
2eb257fa-8b6e-449f-9503-1141cc9d0066,2019-07-29,
5d604fec-505b-478b-90e0-3481575da8f2,2017-01-22,
da40be54-81bc-41f8-a38b-a78a149d6627,2015-08-14,
bac2eede-1b1b-463d-bf30-482081b4ca06,2016-08-06,
4af2a480-729e-4b08-b70b-2fc9eab1a39a,2018-02-01,
7ca888e4-9371-4b69-b727-68cda898414e,2011-01-04,
59aa59a9-3814-4ef1-a112-3f86da22bf95,2011-06-23,
7aa8572d-3d06-4be7-816b-b68ae4e7fc20,2016-07-21,
1ac161d9-28e3-4e79-8694-e825fbf8a65a,2012-01-01,
003a523e-4a1b-4348-8c0c-8baedf3be60e,2012-06-15,
d9e7a8bf-cc8d-410e-b922-564e0cbc1531,2022-10-04,
609579f7-3512-4245-a259-6abd4cc4d60b,2016-07-08,
20624e27-b5f9-4a29-a481-517738494150,2010-01-15,
14a56fd3-6e42-41dc-a803-dc25248b610e,2018-07-26,
1a129ecd-2ede-44c7-a245-f2bdc142c410,2013-09-15,
c016019d-c790-45f2-aa39-8ab0a742cc13,2018-08-02,
5c209b63-b1f4-4c54-8b4e-0f873bdaac8e,2014-07-15,
0b373dbd-f9bd-4098-8188-a79686183a44,2013-06-01,
c6a3febd-0ccc-4c5c-910c-f83a87c0bb12,2014-07-19,
530f895a-6433-4db5-8d07-05f12088b566,2014-10-30,
3a036538-a70d-4a8b-8b2b-95294cbd6959,2011-06-26,
cb8c1ebd-234a-4c3f-bfe0-4d20a54633ec,2013-03-26,
d1fa7177-5f4c-43e9-bf19-0b34133c3139,2017-05-12,
6bef360f-2329-4638-960c-82b7ddd8e6bc,2017-03-02,
e854cf9d-8f28-44e3-aec5-576142a9d3f4,2012-07-17,
676d922c-558c-4f75-88af-24b9359eb521,2013-11-27,
74c7e4b4-5c2b-4d21-93d2-81bb8f66e279,2016-02-12,
